,m1,m2,m3,m4,m5,m6
1528654500.00,52117.76,34.40,50.44,32.92,-93.92,0.00
1528655500.00,52116.38,34.03,50.37,32.92,-94.40,0.00
1528656500.00,52117.63,33.80,50.32,32.95,-93.90,0.00
1528657500.00,52117.62,33.47,50.35,33.03,-93.94,0.00
1528658500.00,52118.80,33.22,50.36,32.98,-93.53,0.00
1528659500.00,52118.10,32.76,50.38,32.95,-93.71,0.00
1528660500.00,52117.72,32.14,50.39,32.97,-93.92,0.00
1528661500.00,52117.94,31.76,50.35,32.98,-93.78,0.00
1528662500.00,52117.25,31.02,50.40,32.93,-94.11,0.00
1528663500.00,52117.43,30.44,50.41,32.99,-94.07,0.00
1528664500.00,52116.70,30.04,50.45,32.93,-94.40,0.00
1528665500.00,52117.93,29.72,50.41,33.00,-93.85,0.00
1528666500.00,52118.03,29.89,50.51,32.97,-93.93,0.00
1528667500.00,52116.99,29.46,50.45,32.92,-94.32,0.00
1528668500.00,52116.65,29.42,50.49,32.94,-94.46,0.00
1528669500.00,52117.54,29.53,50.44,32.97,-94.11,0.00
1528670500.00,52117.51,29.29,50.45,32.95,-94.12,0.00
1528671500.00,52118.09,29.59,50.44,33.01,-93.88,0.00
1528672500.00,52117.18,29.73,50.44,33.00,-94.22,0.00
1528673500.00,52117.25,29.82,50.49,32.99,-94.14,0.00
1528674500.00,52119.40,30.16,50.47,33.05,-93.34,0.00
1528675500.00,52117.89,29.89,50.44,32.96,-93.90,0.00
1528676500.00,52118.83,29.85,50.46,32.93,-93.58,0.00
1528677500.00,52117.92,29.92,50.48,32.88,-93.91,0.00
1528678500.00,52118.08,29.77,50.34,32.97,-93.89,0.00
1528679500.00,52117.87,30.01,50.37,32.93,-93.95,0.00
1528680500.00,52117.76,30.19,50.40,32.97,-93.94,0.00
1528681500.00,52117.19,30.25,50.39,32.97,-94.29,0.00
1528682500.00,52118.08,30.43,50.30,32.93,-93.82,0.00
1528683500.00,52118.06,30.70,50.33,33.00,-93.81,0.00
1528684500.00,52117.83,31.00,50.27,33.04,-93.77,0.00
1528685500.00,52116.79,31.46,50.32,33.06,-94.11,0.00
1528686500.00,52116.86,31.49,50.25,33.04,-93.92,0.00
