,m1,m2,m3,m4,m5,m6
1525281500.00,52002.34,-6.34,38.27,23.25,-83.15,0.00
1525282500.00,52002.10,-7.32,38.40,23.40,-83.41,0.00
1525283500.00,52005.50,-8.18,38.42,23.47,-82.37,0.00
1525284500.00,52006.23,-9.36,38.53,23.49,-82.48,0.00
1525285500.00,52006.15,-10.65,38.54,23.60,-82.50,0.00
1525286500.00,52004.59,-11.68,38.72,23.50,-83.31,0.00
1525287500.00,52004.88,-13.15,38.74,23.49,-83.19,0.00
1525288500.00,52005.25,-13.74,38.94,23.47,-83.20,0.00
1525289500.00,52005.29,-14.85,39.04,23.57,-83.48,0.00
1525290500.00,52005.29,-15.29,39.10,23.54,-83.28,0.00
1525291500.00,52004.81,-16.25,39.15,23.55,-83.13,0.00
1525292500.00,52004.22,-16.76,39.22,23.57,-83.28,0.00
1525293500.00,52002.99,-17.00,39.33,23.53,-83.73,0.00
1525294500.00,52005.60,-16.95,39.35,23.63,-82.84,0.00
1525295500.00,52004.86,-17.18,39.39,23.55,-83.23,0.00
1525296500.00,52004.33,-17.52,39.34,23.67,-83.20,0.00
1525297500.00,52002.68,-17.49,39.36,23.73,-83.44,0.00
1525298500.00,52001.41,-16.96,39.44,23.76,-83.43,0.00
1525299500.00,52002.68,-17.31,39.57,23.80,-83.10,0.00
1525300500.00,52000.62,-17.79,39.69,23.87,-83.01,0.00
1525301500.00,51999.34,-17.85,39.87,23.80,-83.19,0.00
1525302500.00,51999.75,-18.17,39.93,23.91,-83.35,0.00
1525303500.00,51997.85,-18.24,40.00,23.87,-83.98,0.00
1525304500.00,52000.43,-17.04,40.02,23.96,-83.28,0.00
1525305500.00,52001.71,-15.39,40.03,23.98,-83.45,0.00
1525306500.00,52003.57,-14.32,39.92,24.01,-83.19,0.00
1525307500.00,52002.68,-13.11,39.96,24.11,-83.46,0.00
1525308500.00,52001.85,-12.17,39.94,24.17,-83.39,0.00
1525309500.00,51999.90,-11.39,39.95,24.13,-84.03,0.00
1525310500.00,51999.43,-10.30,40.00,24.19,-83.95,0.00
1525311500.00,51999.62,-9.24,40.03,24.19,-83.90,0.00
1525312500.00,51999.54,-8.50,40.04,24.30,-83.82,0.00
1525313500.00,51998.64,-7.25,40.13,24.31,-84.05,0.00
1525314500.00,51997.99,-6.28,40.09,24.34,-84.00,0.00
1525315500.00,51996.65,-6.05,40.08,24.33,-83.99,0.00
1525316500.00,51995.94,-5.69,40.25,24.43,-83.86,0.00
1525317500.00,51993.77,-5.09,40.30,24.36,-84.45,0.00
1525318500.00,51996.56,-3.78,40.21,24.44,-83.90,0.00
1525319500.00,51994.71,-3.34,40.22,24.43,-84.39,0.00
1525320500.00,51995.59,-2.88,40.34,24.56,-83.76,0.00
1525321500.00,51995.57,-1.20,40.36,24.46,-84.03,0.00
1525322500.00,51997.54,-0.26,40.20,24.65,-83.58,0.00
1525323500.00,51993.79,0.48,40.35,24.50,-84.50,0.00
1525324500.00,51992.27,-0.05,40.41,24.63,-84.53,0.00
