,m1,m2,m3,m4,m5,m6
1524789500.00,52058.94,-30.77,21.06,15.30,-74.40,0.00
1524790500.00,52060.57,-31.53,21.07,15.30,-74.22,0.00
1524791500.00,52061.16,-31.85,21.15,15.30,-74.37,0.00
1524792500.00,52063.48,-32.24,21.14,15.36,-73.83,0.00
1524793500.00,52064.54,-32.61,21.19,15.41,-73.79,0.00
1524794500.00,52064.92,-32.62,21.20,15.42,-73.88,0.00
1524795500.00,52064.97,-32.75,21.22,15.43,-74.04,0.00
1524796500.00,52065.98,-32.57,21.20,15.47,-73.94,0.00
1524797500.00,52066.66,-32.08,21.22,15.52,-73.79,0.00
1524798500.00,52067.96,-31.74,21.21,15.61,-73.50,0.00
1524799500.00,52067.21,-31.60,21.15,15.57,-73.86,0.00
1524800500.00,52069.09,-31.02,21.21,15.64,-73.39,0.00
1524801500.00,52068.66,-30.19,21.20,15.56,-73.60,0.00
1524802500.00,52069.01,-30.02,21.17,15.72,-73.58,0.00
1524803500.00,52069.42,-29.56,21.21,15.79,-73.55,0.00
1524804500.00,52069.20,-29.11,21.27,15.78,-73.66,0.00
1524805500.00,52069.79,-28.82,21.24,15.80,-73.58,0.00
1524806500.00,52068.96,-28.67,21.26,15.83,-73.84,0.00
1524807500.00,52068.88,-28.22,21.33,15.69,-73.89,0.00
1524808500.00,52069.57,-28.12,21.28,15.85,-73.69,0.00
1524809500.00,52070.02,-27.93,21.31,15.92,-73.52,0.00
1524810500.00,52070.15,-28.10,21.28,15.80,-73.54,0.00
1524811500.00,52070.66,-27.70,21.38,15.93,-73.35,0.00
1524812500.00,52071.39,-27.32,21.50,16.05,-73.15,0.00
1524813500.00,52069.89,-27.29,21.48,16.00,-73.61,0.00
1524814500.00,52071.65,-27.02,21.42,16.10,-73.05,0.00
1524815500.00,52070.79,-26.48,21.52,16.01,-73.35,0.00
1524816500.00,52070.31,-26.32,21.47,16.06,-73.62,0.00
1524817500.00,52070.92,-25.90,21.47,16.08,-73.39,0.00
1524818500.00,52070.22,-25.89,21.47,16.11,-73.69,0.00
1524819500.00,52071.12,-25.26,21.52,16.08,-73.35,0.00
1524820500.00,52071.75,-24.63,21.44,16.18,-73.15,0.00
1524821500.00,52070.67,-23.48,21.54,16.16,-73.54,0.00
1524822500.00,52071.28,-23.32,21.48,16.21,-73.35,0.00
1524823500.00,52071.66,-22.86,21.53,16.29,-73.25,0.00
1524824500.00,52069.84,-22.64,21.52,16.18,-73.85,0.00
1524825500.00,52069.82,-22.17,21.60,16.19,-73.90,0.00
1524826500.00,52070.25,-22.10,21.62,16.30,-73.71,0.00
1524827500.00,52069.15,-22.59,21.59,16.29,-74.09,0.00
1524828500.00,52069.82,-22.40,21.63,16.26,-73.87,0.00
1524829500.00,52069.07,-22.64,21.70,16.27,-74.14,0.00
1524830500.00,52070.03,-23.07,21.68,16.36,-73.80,0.00
1524831500.00,52069.97,-23.52,21.79,16.36,-73.91,0.00
1524832500.00,52070.75,-24.11,21.81,16.36,-73.76,0.00
1524833500.00,52069.12,-24.37,21.80,16.28,-74.33,0.00
1524834500.00,52070.89,-24.70,21.79,16.37,-73.81,0.00
1524835500.00,52069.53,-25.43,21.91,16.34,-74.31,0.00
1524836500.00,52070.78,-26.61,21.86,16.37,-73.90,0.00
1524837500.00,52069.33,-27.52,21.89,16.30,-74.49,0.00
1524838500.00,52071.34,-28.64,21.91,16.43,-73.88,0.00
1524839500.00,52071.48,-29.22,22.02,16.49,-73.80,0.00
1524840500.00,52070.41,-29.96,22.06,16.43,-74.35,0.00
1524841500.00,52071.39,-30.55,22.02,16.50,-74.04,0.00
