,m1,m2,m3,m4,m5,m6
1525797500.00,51969.44,26.88,42.95,25.11,-81.76,0.00
1525798500.00,51971.01,25.93,43.02,25.15,-81.59,0.00
1525799500.00,51971.54,24.79,43.03,25.16,-81.64,0.00
1525800500.00,51973.09,23.57,43.05,25.18,-81.33,0.00
1525801500.00,51972.11,22.19,43.16,25.04,-81.91,0.00
1525802500.00,51973.74,20.91,43.23,25.18,-81.64,0.00
1525803500.00,51975.47,19.95,43.28,25.11,-81.39,0.00
1525804500.00,51976.48,18.80,43.34,25.15,-81.12,0.00
1525805500.00,51978.20,17.76,43.33,25.21,-80.77,0.00
1525806500.00,51977.59,16.88,43.47,25.18,-80.84,0.00
1525807500.00,51978.27,15.75,43.48,25.24,-80.79,0.00
1525808500.00,51978.08,15.00,43.52,25.16,-80.90,0.00
1525809500.00,51977.20,13.99,43.59,25.10,-81.27,0.00
1525810500.00,51978.96,13.38,43.67,25.21,-80.86,0.00
1525811500.00,51978.62,12.49,43.71,25.21,-81.00,0.00
1525812500.00,51978.45,12.08,43.78,25.27,-81.12,0.00
1525813500.00,51977.31,11.61,43.96,25.23,-81.60,0.00
1525814500.00,51979.95,11.13,43.99,25.34,-80.60,0.00
1525815500.00,51980.33,10.56,44.06,25.33,-80.65,0.00
1525816500.00,51980.80,10.34,44.13,25.30,-80.72,0.00
1525817500.00,51982.56,9.95,44.10,25.40,-80.10,0.00
1525818500.00,51982.03,9.87,44.13,25.40,-80.23,0.00
1525819500.00,51980.64,9.44,44.17,25.33,-80.81,0.00
1525820500.00,51981.21,9.85,44.23,25.38,-80.53,0.00
1525821500.00,51981.62,9.76,44.23,25.43,-80.40,0.00
1525822500.00,51981.24,9.82,44.20,25.45,-80.50,0.00
1525823500.00,51981.36,10.75,44.27,25.47,-80.46,0.00
1525824500.00,51980.53,10.76,44.22,25.52,-81.05,0.00
1525825500.00,51982.62,11.21,44.17,25.59,-80.20,0.00
1525826500.00,51981.61,12.31,44.24,25.56,-80.58,0.00
1525827500.00,51980.80,12.88,44.19,25.60,-80.88,0.00
1525828500.00,51981.23,13.51,44.15,25.70,-80.64,0.00
1525829500.00,51981.21,14.66,44.21,25.72,-80.67,0.00
1525830500.00,51981.56,15.40,44.14,25.75,-80.44,0.00
1525831500.00,51981.07,16.23,44.08,25.80,-80.68,0.00
