,m1,m2,m3,m4,m5,m6
1524479500.00,51992.65,4.93,14.47,20.42,-72.36,0.00
1524480500.00,51992.99,5.70,14.59,20.37,-72.29,0.00
1524481500.00,51992.53,5.91,14.60,20.39,-72.44,0.00
1524482500.00,51992.20,5.81,14.59,20.39,-72.43,0.00
1524483500.00,51992.35,5.92,14.58,20.41,-72.35,0.00
1524484500.00,51991.36,6.51,14.71,20.39,-72.56,0.00
1524485500.00,51992.01,6.24,14.63,20.42,-72.30,0.00
1524486500.00,51990.88,6.15,14.64,20.40,-72.72,0.00
1524487500.00,51991.11,6.47,14.71,20.40,-72.60,0.00
1524488500.00,51990.85,6.28,14.75,20.41,-72.51,0.00
1524489500.00,51990.34,6.32,14.81,20.35,-72.87,0.00
1524490500.00,51991.95,6.45,14.85,20.41,-72.32,0.00
1524491500.00,51991.34,6.45,14.87,20.42,-72.48,0.00
1524492500.00,51990.51,6.98,14.79,20.28,-72.44,0.00
1524493500.00,51992.45,7.97,14.73,20.47,-71.73,0.00
1524494500.00,51990.88,8.31,14.86,20.42,-72.18,0.00
1524495500.00,51990.10,7.81,14.91,20.40,-72.39,0.00
1524496500.00,51990.00,7.70,15.05,20.47,-72.41,0.00
1524497500.00,51990.43,7.06,15.06,20.49,-72.21,0.00
1524498500.00,51989.33,6.25,15.07,20.43,-72.59,0.00
1524499500.00,51989.27,5.17,15.12,20.45,-72.53,0.00
1524500500.00,51989.74,4.15,15.19,20.55,-72.24,0.00
1524501500.00,51989.29,3.11,15.29,20.45,-72.37,0.00
1524502500.00,51989.79,2.15,15.39,20.48,-72.33,0.00
1524503500.00,51990.70,1.41,15.46,20.53,-72.18,0.00
1524504500.00,51988.78,0.27,15.51,20.43,-72.95,0.00
1524505500.00,51990.62,-0.91,15.53,20.52,-72.34,0.00
1524506500.00,51991.72,-1.95,15.63,20.54,-71.99,0.00
1524507500.00,51990.55,-3.35,15.71,20.48,-72.39,0.00
1524508500.00,51991.44,-4.66,15.73,20.60,-72.12,0.00
1524509500.00,51988.90,-5.92,15.91,20.61,-72.35,0.00
1524510500.00,51987.36,-6.84,16.01,20.61,-72.53,0.00
1524511500.00,51986.34,-7.54,16.13,20.56,-72.93,0.00
1524512500.00,51987.39,-8.12,16.18,20.57,-72.54,0.00
1524513500.00,51988.65,-8.83,16.14,20.65,-72.28,0.00
1524514500.00,51990.10,-9.30,16.22,20.76,-71.94,0.00
1524515500.00,51989.43,-10.03,16.34,20.77,-72.22,0.00
1524516500.00,51988.12,-10.77,16.46,20.71,-72.69,0.00
1524517500.00,51989.42,-11.38,16.59,20.78,-72.34,0.00
1524518500.00,51988.73,-11.93,16.70,20.80,-72.60,0.00
1524519500.00,51989.45,-12.53,16.75,20.84,-72.40,0.00
1524520500.00,51989.09,-12.82,16.82,20.90,-72.54,0.00
1524521500.00,51989.49,-13.61,16.79,20.89,-72.41,0.00
1524522500.00,51988.81,-13.85,16.92,20.86,-72.59,0.00
1524523500.00,51988.43,-14.19,17.01,20.90,-72.74,0.00
1524524500.00,51990.47,-14.05,17.06,21.00,-72.11,0.00
1524525500.00,51989.46,-14.18,17.07,21.05,-72.47,0.00
1524526500.00,51990.42,-13.96,17.10,21.09,-72.20,0.00
1524527500.00,51990.08,-13.77,17.24,21.04,-72.42,0.00
1524528500.00,51990.99,-13.96,17.16,21.26,-72.18,0.00
1524529500.00,51987.82,-13.43,17.21,21.04,-73.29,0.00
1524530500.00,51989.01,-12.76,17.29,21.16,-72.91,0.00
1524531500.00,51992.40,-11.84,17.34,21.34,-71.80,0.00
1524532500.00,51990.91,-11.16,17.32,21.31,-72.29,0.00
1524533500.00,51989.74,-10.40,17.43,21.36,-72.71,0.00
1524534500.00,51989.91,-9.80,17.44,21.40,-72.71,0.00
1524535500.00,51988.78,-8.93,17.47,21.37,-73.08,0.00
1524536500.00,51989.71,-8.12,17.44,21.48,-72.64,0.00
1524537500.00,51990.05,-7.31,17.46,21.57,-72.57,0.00
1524538500.00,51990.91,-6.45,17.47,21.60,-72.16,0.00
1524539500.00,51987.90,-5.21,17.53,21.47,-73.16,0.00
1524540500.00,51989.19,-4.51,17.51,21.57,-72.75,0.00
1524541500.00,51988.41,-3.47,17.58,21.57,-72.99,0.00
1524542500.00,51989.30,-2.83,17.56,21.68,-72.67,0.00
1524543500.00,51988.94,-2.23,17.63,21.72,-72.46,0.00
1524544500.00,51982.73,-1.69,17.74,21.66,-73.52,0.00
1524545500.00,51982.14,-1.17,17.75,21.69,-73.58,0.00
1524546500.00,51981.26,-0.26,17.82,21.68,-73.79,0.00
1524547500.00,51980.68,0.43,17.81,21.66,-73.86,0.00
1524548500.00,51982.37,0.76,17.87,21.84,-73.28,0.00
1524549500.00,51980.64,1.50,17.91,21.81,-73.74,0.00
1524550500.00,51980.15,1.96,17.97,21.83,-73.89,0.00
1524551500.00,51979.10,2.56,17.97,21.76,-74.19,0.00
1524552500.00,51980.37,3.08,18.00,21.89,-73.70,0.00
1524553500.00,51978.56,3.45,18.06,21.79,-74.28,0.00
1524554500.00,51979.54,3.73,18.11,21.93,-73.89,0.00
1524555500.00,51978.77,4.26,18.17,21.90,-74.10,0.00
1524556500.00,51980.49,4.61,18.21,21.95,-73.50,0.00
1524557500.00,51979.15,4.67,18.32,21.97,-73.92,0.00
1524558500.00,51978.00,4.74,18.32,21.98,-74.26,0.00
1524559500.00,51977.95,5.22,18.39,22.01,-74.05,0.00
1524560500.00,51978.11,5.71,18.44,22.00,-74.14,0.00
1524561500.00,51978.12,5.69,18.45,22.07,-73.93,0.00
1524562500.00,51977.30,5.62,18.46,22.01,-74.12,0.00
1524563500.00,51977.31,5.91,18.53,22.09,-74.17,0.00
1524564500.00,51977.00,6.16,18.53,22.11,-74.19,0.00
1524565500.00,51976.06,6.41,18.59,22.03,-74.42,0.00
1524566500.00,51976.35,6.38,18.63,22.04,-74.26,0.00
1524567500.00,51976.77,6.64,18.67,22.09,-74.08,0.00
1524568500.00,51975.78,7.02,18.82,22.10,-74.37,0.00
1524569500.00,51973.49,7.04,18.80,22.00,-75.07,0.00
1524570500.00,51974.72,7.04,18.81,22.16,-74.57,0.00
1524571500.00,51975.40,7.36,18.80,22.16,-74.23,0.00
1524572500.00,51975.92,7.69,18.84,22.21,-73.87,0.00
1524573500.00,51974.72,7.85,18.95,22.21,-74.29,0.00
1524574500.00,51974.34,7.91,19.03,22.23,-74.46,0.00
1524575500.00,51974.46,8.01,19.09,22.22,-74.40,0.00
1524576500.00,51974.04,7.66,19.08,22.22,-74.50,0.00
1524577500.00,51974.04,7.84,19.23,22.26,-74.43,0.00
1524578500.00,51975.04,7.60,19.31,22.34,-74.02,0.00
1524579500.00,51972.72,7.08,19.37,22.27,-74.77,0.00
1524580500.00,51972.10,6.47,19.43,22.19,-74.86,0.00
1524581500.00,51972.49,5.63,19.50,22.32,-74.76,0.00
1524582500.00,51968.76,4.80,19.50,22.39,-76.01,0.00
1524583500.00,51969.38,3.34,19.65,22.22,-74.84,0.00
1524584500.00,51968.74,2.81,19.84,22.23,-74.88,0.00
