,m1,m2,m3,m4,m5,m6
1530143500.00,52136.57,9.60,54.28,36.38,-92.74,0.00
1530144500.00,52136.09,10.15,54.35,36.36,-92.86,0.00
1530145500.00,52135.78,10.25,54.29,36.41,-92.91,0.00
1530146500.00,52135.67,10.58,54.34,36.44,-92.88,0.00
1530147500.00,52134.82,10.30,54.25,36.48,-93.12,0.00
1530148500.00,52136.12,10.42,54.32,36.54,-92.65,0.00
1530149500.00,52133.89,10.84,54.26,36.47,-93.39,0.00
1530150500.00,52134.07,11.55,54.18,36.51,-93.23,0.00
1530151500.00,52134.18,12.15,54.12,36.60,-93.08,0.00
1530152500.00,52131.58,12.72,54.14,36.57,-93.91,0.00
1530153500.00,52132.95,13.36,54.06,36.64,-93.34,0.00
1530154500.00,52133.06,14.41,54.06,36.71,-93.33,0.00
1530155500.00,52132.51,14.93,54.06,36.71,-93.44,0.00
1530156500.00,52131.86,15.43,53.97,36.76,-93.49,0.00
1530157500.00,52132.22,16.26,53.95,36.73,-93.29,0.00
1530158500.00,52133.76,17.08,53.93,36.86,-92.74,0.00
1530159500.00,52133.56,17.86,53.91,36.88,-92.77,0.00
1530160500.00,52132.48,18.82,53.97,36.85,-93.07,0.00
1530161500.00,52132.57,19.53,53.90,36.88,-92.96,0.00
1530162500.00,52132.41,20.29,53.95,36.81,-92.90,0.00
1530163500.00,52132.18,20.94,53.91,36.90,-92.96,0.00
1530164500.00,52132.92,21.49,53.84,36.94,-92.69,0.00
1530165500.00,52133.08,22.67,53.87,36.94,-92.58,0.00
1530166500.00,52132.84,23.22,53.83,36.94,-92.59,0.00
1530167500.00,52132.48,23.91,53.77,36.90,-92.71,0.00
1530168500.00,52131.84,24.78,53.83,36.88,-92.93,0.00
1530169500.00,52131.92,25.53,53.81,36.90,-92.94,0.00
1530170500.00,52131.75,26.26,53.84,36.94,-93.10,0.00
1530171500.00,52131.75,26.89,53.85,36.87,-93.11,0.00
1530172500.00,52131.76,27.35,53.81,36.89,-93.20,0.00
1530173500.00,52133.58,27.80,53.79,37.00,-92.57,0.00
1530174500.00,52132.66,28.16,53.76,36.92,-92.92,0.00
1530175500.00,52133.74,28.79,53.75,36.97,-92.56,0.00
1530176500.00,52133.47,29.28,53.77,36.97,-92.67,0.00
1530177500.00,52133.83,29.71,53.75,36.97,-92.44,0.00
1530178500.00,52133.76,30.39,53.76,36.92,-92.49,0.00
1530179500.00,52133.52,30.81,53.81,36.93,-92.54,0.00
1530180500.00,52132.22,31.03,53.75,36.83,-92.96,0.00
1530181500.00,52132.26,31.28,53.73,36.90,-92.95,0.00
1530182500.00,52132.85,31.55,53.71,36.90,-92.77,0.00
1530183500.00,52133.15,31.87,53.69,36.97,-92.65,0.00
1530184500.00,52132.14,32.32,53.72,36.90,-93.00,0.00
1530185500.00,52132.42,32.42,53.68,36.93,-92.97,0.00
1530186500.00,52132.70,32.14,53.75,36.88,-92.95,0.00
1530187500.00,52131.65,31.30,53.72,36.75,-93.40,0.00
1530188500.00,52132.72,30.68,53.80,36.81,-93.18,0.00
1530189500.00,52132.46,29.24,53.82,36.80,-93.33,0.00
1530190500.00,52133.37,28.01,53.83,36.80,-93.22,0.00
1530191500.00,52133.15,26.64,53.97,36.65,-93.74,0.00
1530192500.00,52134.55,24.98,54.03,36.67,-93.61,0.00
1530193500.00,52134.72,23.17,53.98,36.64,-93.68,0.00
1530194500.00,52134.61,21.89,54.12,36.62,-93.89,0.00
1530195500.00,52135.05,20.37,54.12,36.68,-93.80,0.00
1530196500.00,52134.39,18.99,54.20,36.57,-94.13,0.00
1530197500.00,52133.67,17.68,54.27,36.52,-94.43,0.00
1530198500.00,52133.17,16.07,54.20,36.51,-94.77,0.00
1530199500.00,52133.77,15.01,54.19,36.53,-94.66,0.00
1530200500.00,52133.41,13.51,54.20,36.45,-94.86,0.00
1530201500.00,52134.68,12.91,54.26,36.51,-94.44,0.00
1530202500.00,52134.03,12.29,54.29,36.51,-94.62,0.00
1530203500.00,52133.96,11.65,54.33,36.47,-94.63,0.00
1530204500.00,52133.87,10.78,54.27,36.48,-94.62,0.00
1530205500.00,52133.11,10.21,54.28,36.47,-94.90,0.00
1530206500.00,52133.61,9.94,54.35,36.51,-94.72,0.00
1530207500.00,52132.88,9.40,54.32,36.53,-94.86,0.00
1530208500.00,52132.02,9.29,54.33,36.45,-95.13,0.00
1530209500.00,52132.39,8.56,54.32,36.51,-95.00,0.00
1530210500.00,52132.35,8.09,54.29,36.54,-94.99,0.00
1530211500.00,52133.28,7.87,54.40,36.59,-94.59,0.00
1530212500.00,52132.60,7.14,54.34,36.53,-94.72,0.00
1530213500.00,52132.42,6.42,54.36,36.61,-94.80,0.00
1530214500.00,52132.05,6.21,54.50,36.59,-94.89,0.00
1530215500.00,52132.07,5.50,54.54,36.63,-94.98,0.00
1530216500.00,52132.39,4.70,54.55,36.68,-94.92,0.00
1530217500.00,52132.27,3.89,54.56,36.68,-95.12,0.00
1530218500.00,52132.20,3.29,54.59,36.68,-95.13,0.00
1530219500.00,52131.76,2.86,54.62,36.68,-95.29,0.00
1530220500.00,52133.80,2.50,54.65,36.75,-94.53,0.00
