,m1,m2,m3,m4,m5,m6
1529701500.00,52105.49,47.06,55.72,35.76,-94.89,0.00
1529702500.00,52107.57,46.65,55.63,35.77,-94.33,0.00
1529703500.00,52106.58,46.35,55.62,35.75,-94.73,0.00
1529704500.00,52106.14,45.91,55.55,35.71,-94.87,0.00
1529705500.00,52106.00,45.59,55.54,35.67,-94.98,0.00
1529706500.00,52107.06,45.17,55.49,35.66,-94.66,0.00
1529707500.00,52108.03,44.77,55.49,35.67,-94.48,0.00
1529708500.00,52106.69,44.49,55.43,35.57,-95.02,0.00
1529709500.00,52107.44,44.16,55.40,35.60,-94.76,0.00
1529710500.00,52108.65,44.10,55.38,35.68,-94.39,0.00
1529711500.00,52108.05,43.73,55.27,35.58,-94.60,0.00
1529712500.00,52107.68,43.82,55.32,35.57,-94.79,0.00
1529713500.00,52107.87,43.62,55.22,35.57,-94.77,0.00
1529714500.00,52108.30,43.50,55.26,35.51,-94.64,0.00
1529715500.00,52107.73,43.38,55.21,35.56,-94.83,0.00
1529716500.00,52107.97,43.20,55.21,35.50,-94.77,0.00
1529717500.00,52107.32,43.39,55.21,35.46,-95.03,0.00
1529718500.00,52108.10,43.31,55.13,35.46,-94.85,0.00
1529719500.00,52108.94,43.56,55.11,35.45,-94.53,0.00
1529720500.00,52110.37,43.42,55.01,35.58,-94.07,0.00
1529721500.00,52109.18,43.33,55.00,35.40,-94.45,0.00
1529722500.00,52108.49,43.12,54.90,35.39,-94.72,0.00
1529723500.00,52108.97,43.15,54.96,35.43,-94.59,0.00
1529724500.00,52108.36,42.84,54.84,35.37,-94.88,0.00
1529725500.00,52109.71,42.89,54.86,35.41,-94.48,0.00
1529726500.00,52108.13,42.78,54.92,35.34,-95.04,0.00
1529727500.00,52108.47,42.30,54.83,35.34,-94.93,0.00
1529728500.00,52109.92,42.35,54.85,35.37,-94.50,0.00
1529729500.00,52110.07,42.16,54.84,35.35,-94.57,0.00
1529730500.00,52109.85,41.41,54.80,35.31,-94.72,0.00
1529731500.00,52109.50,41.25,54.80,35.27,-94.83,0.00
1529732500.00,52110.49,41.10,54.74,35.30,-94.52,0.00
1529733500.00,52111.08,41.16,54.72,35.34,-94.32,0.00
1529734500.00,52111.26,40.98,54.65,35.26,-94.33,0.00
1529735500.00,52111.04,40.68,54.63,35.21,-94.31,0.00
1529736500.00,52111.92,40.76,54.64,35.28,-94.02,0.00
1529737500.00,52111.88,40.67,54.68,35.27,-94.18,0.00
1529738500.00,52112.55,40.70,54.69,35.15,-94.00,0.00
1529739500.00,52111.90,40.52,54.60,35.19,-94.34,0.00
1529740500.00,52112.84,40.54,54.55,35.21,-94.10,0.00
1529741500.00,52113.74,40.34,54.50,35.20,-93.84,0.00
1529742500.00,52113.62,40.18,54.46,35.17,-93.87,0.00
1529743500.00,52111.83,39.92,54.42,35.05,-94.61,0.00
1529744500.00,52112.75,40.15,54.45,35.08,-94.37,0.00
1529745500.00,52114.68,39.96,54.33,35.15,-93.69,0.00
1529746500.00,52113.93,39.94,54.38,35.13,-93.96,0.00
1529747500.00,52114.56,40.16,54.35,35.11,-93.69,0.00
1529748500.00,52113.57,39.75,54.28,35.09,-94.05,0.00
