,m1,m2,m3,m4,m5,m6
1529036500.00,52138.57,38.67,44.80,32.95,-93.01,0.00
1529037500.00,52138.12,39.06,44.76,32.96,-92.97,0.00
1529038500.00,52138.24,39.35,44.81,32.86,-92.89,0.00
1529039500.00,52138.87,39.01,44.75,32.91,-92.58,0.00
1529040500.00,52137.90,39.20,44.74,32.87,-92.81,0.00
1529041500.00,52138.08,39.31,44.65,32.88,-92.64,0.00
1529042500.00,52134.70,40.22,44.67,32.88,-92.51,0.00
1529043500.00,52134.10,40.47,44.54,32.91,-92.40,0.00
1529044500.00,52134.60,41.27,44.57,32.91,-92.16,0.00
1529045500.00,52134.51,41.69,44.58,32.85,-92.06,0.00
1529046500.00,52135.32,41.82,44.56,32.91,-91.72,0.00
1529047500.00,52132.66,41.62,44.57,32.79,-92.60,0.00
1529048500.00,52132.75,41.48,44.45,32.78,-92.53,0.00
1529049500.00,52132.99,41.91,44.51,32.82,-92.40,0.00
1529050500.00,52133.18,42.12,44.50,32.74,-92.31,0.00
1529051500.00,52132.00,42.00,44.46,32.70,-92.58,0.00
1529052500.00,52133.51,42.18,44.48,32.74,-92.01,0.00
1529053500.00,52133.10,42.16,44.46,32.73,-92.14,0.00
1529054500.00,52132.56,42.25,44.56,32.62,-92.34,0.00
1529055500.00,52133.40,41.95,44.53,32.72,-92.02,0.00
1529056500.00,52134.34,42.28,44.57,32.73,-91.51,0.00
1529057500.00,52133.21,42.04,44.51,32.68,-91.93,0.00
1529058500.00,52132.75,42.26,44.57,32.66,-92.02,0.00
1529059500.00,52131.99,42.02,44.54,32.62,-92.24,0.00
1529060500.00,52131.67,41.90,44.48,32.62,-92.28,0.00
1529061500.00,52130.94,42.17,44.54,32.58,-92.42,0.00
1529062500.00,52132.62,42.31,44.51,32.62,-91.78,0.00
1529063500.00,52131.58,42.18,44.54,32.58,-92.15,0.00
1529064500.00,52131.54,41.56,44.54,32.51,-92.07,0.00
1529065500.00,52131.22,40.77,44.55,32.53,-92.16,0.00
1529066500.00,52131.37,39.93,44.58,32.50,-92.04,0.00
1529067500.00,52132.61,39.38,44.61,32.48,-91.52,0.00
1529068500.00,52130.19,38.70,44.58,32.38,-92.23,0.00
1529069500.00,52131.30,38.06,44.61,32.38,-91.88,0.00
1529070500.00,52130.69,37.38,44.60,32.34,-92.07,0.00
1529071500.00,52130.97,37.11,44.69,32.33,-91.96,0.00
1529072500.00,52131.50,36.49,44.60,32.40,-91.72,0.00
