,m1,m2,m3,m4,m5,m6
1529382500.00,52143.48,31.20,55.89,39.43,-96.83,0.00
1529383500.00,52143.15,31.72,55.84,39.41,-96.87,0.00
1529384500.00,52144.15,32.31,55.91,39.50,-96.44,0.00
1529385500.00,52143.79,32.57,55.96,39.52,-96.57,0.00
1529386500.00,52142.44,32.55,55.93,39.45,-96.92,0.00
1529387500.00,52142.81,32.64,55.97,39.49,-96.84,0.00
1529388500.00,52143.04,32.83,56.05,39.54,-96.78,0.00
1529389500.00,52142.12,32.62,56.02,39.47,-97.08,0.00
1529390500.00,52143.65,32.93,56.15,39.46,-96.60,0.00
1529391500.00,52142.80,32.96,56.16,39.40,-96.88,0.00
1529392500.00,52142.73,33.16,56.23,39.44,-96.92,0.00
1529393500.00,52142.01,33.47,56.20,39.44,-97.04,0.00
1529394500.00,52142.08,34.11,56.27,39.46,-96.90,0.00
1529395500.00,52140.57,34.66,56.30,39.37,-97.27,0.00
1529396500.00,52141.67,34.77,56.20,39.43,-96.74,0.00
1529397500.00,52142.04,35.49,56.33,39.42,-96.50,0.00
1529398500.00,52143.32,36.52,56.43,39.49,-95.92,0.00
1529399500.00,52142.17,37.08,56.38,39.46,-96.20,0.00
1529400500.00,52141.22,37.66,56.45,39.42,-96.31,0.00
1529401500.00,52139.51,38.16,56.42,39.37,-96.89,0.00
1529402500.00,52140.20,38.74,56.43,39.38,-96.57,0.00
1529403500.00,52139.78,39.04,56.40,39.42,-96.63,0.00
1529404500.00,52138.94,39.58,56.48,39.29,-96.77,0.00
1529405500.00,52139.16,40.07,56.50,39.37,-96.59,0.00
1529406500.00,52140.06,40.73,56.56,39.36,-96.18,0.00
1529407500.00,52138.67,40.93,56.51,39.29,-96.43,0.00
1529408500.00,52139.39,41.40,56.52,39.39,-96.06,0.00
1529409500.00,52138.60,41.95,56.62,39.34,-96.26,0.00
1529410500.00,52139.24,42.34,56.61,39.37,-95.92,0.00
1529411500.00,52139.37,42.51,56.53,39.36,-95.63,0.00
1529412500.00,52137.83,43.19,56.60,39.24,-96.03,0.00
1529413500.00,52137.61,43.42,56.62,39.30,-95.91,0.00
1529414500.00,52138.23,43.50,56.66,39.37,-95.63,0.00
1529415500.00,52136.48,43.59,56.60,39.27,-96.05,0.00
1529416500.00,52137.09,43.79,56.67,39.29,-95.85,0.00
1529417500.00,52135.73,43.45,56.63,39.24,-96.21,0.00
1529418500.00,52134.20,43.00,56.70,39.13,-96.71,0.00
1529419500.00,52136.62,43.07,56.79,39.19,-95.76,0.00
1529420500.00,52136.63,42.51,56.76,39.16,-95.71,0.00
1529421500.00,52136.52,42.02,56.79,39.12,-95.74,0.00
1529422500.00,52135.47,41.48,56.82,39.12,-96.12,0.00
1529423500.00,52136.15,41.21,56.87,39.11,-95.76,0.00
1529424500.00,52135.12,40.80,56.92,39.06,-96.16,0.00
1529425500.00,52136.11,40.11,56.95,39.08,-95.84,0.00
1529426500.00,52134.96,39.58,57.07,39.04,-96.19,0.00
1529427500.00,52135.74,38.57,57.06,39.06,-95.90,0.00
1529428500.00,52136.33,37.61,57.14,39.02,-95.73,0.00
1529429500.00,52135.63,36.30,57.15,38.98,-96.09,0.00
1529430500.00,52136.90,35.23,57.25,38.98,-95.73,0.00
1529431500.00,52135.62,33.84,57.31,38.89,-96.29,0.00
1529432500.00,52135.51,32.45,57.36,38.88,-96.41,0.00
1529433500.00,52134.81,31.71,57.48,38.76,-96.64,0.00
1529434500.00,52135.42,30.59,57.54,38.81,-96.48,0.00
1529435500.00,52135.87,29.34,57.60,38.78,-96.37,0.00
1529436500.00,52135.62,28.10,57.60,38.79,-96.52,0.00
1529437500.00,52136.70,27.51,57.78,38.77,-96.16,0.00
1529438500.00,52137.08,26.37,57.74,38.79,-96.09,0.00
1529439500.00,52136.57,25.51,57.82,38.78,-96.35,0.00
1529440500.00,52136.95,24.97,57.86,38.79,-96.18,0.00
1529441500.00,52135.07,24.36,57.87,38.73,-96.83,0.00
1529442500.00,52135.33,24.07,57.93,38.79,-96.72,0.00
1529443500.00,52134.98,23.76,57.94,38.80,-96.76,0.00
1529444500.00,52135.30,23.34,57.89,38.80,-96.49,0.00
1529445500.00,52135.64,23.26,57.96,38.82,-96.38,0.00
1529446500.00,52134.91,23.10,57.99,38.85,-96.50,0.00
1529447500.00,52134.83,22.93,58.01,38.84,-96.52,0.00
1529448500.00,52134.14,23.01,58.05,38.79,-96.67,0.00
1529449500.00,52133.37,23.25,58.18,38.88,-96.21,0.00
1529450500.00,52132.37,23.03,58.06,38.89,-96.11,0.00
1529451500.00,52132.18,23.70,58.10,38.97,-96.00,0.00
1529452500.00,52132.08,24.23,58.11,39.01,-95.93,0.00
1529453500.00,52131.20,24.85,58.11,39.00,-96.07,0.00
1529454500.00,52130.33,25.60,58.17,38.98,-96.25,0.00
1529455500.00,52129.95,26.34,58.09,38.94,-96.18,0.00
1529456500.00,52130.38,27.34,58.06,39.09,-95.82,0.00
1529457500.00,52128.94,27.90,57.98,39.02,-96.08,0.00
1529458500.00,52128.69,29.06,58.00,39.11,-96.01,0.00
1529459500.00,52129.00,29.97,58.00,39.12,-95.72,0.00
1529460500.00,52127.92,30.79,57.94,39.13,-95.91,0.00
1529461500.00,52127.92,31.77,57.93,39.15,-95.81,0.00
1529462500.00,52127.11,32.65,57.91,39.14,-95.85,0.00
1529463500.00,52125.84,33.19,57.90,39.19,-96.19,0.00
1529464500.00,52126.13,34.11,57.90,39.23,-95.89,0.00
1529465500.00,52125.79,34.77,57.82,39.24,-95.85,0.00
1529466500.00,52125.30,35.72,57.87,39.26,-95.95,0.00
1529467500.00,52124.22,36.49,57.84,39.16,-96.25,0.00
1529468500.00,52125.84,37.30,57.87,39.27,-95.67,0.00
1529469500.00,52125.24,38.03,57.87,39.21,-95.89,0.00
1529470500.00,52125.19,38.50,57.79,39.23,-95.77,0.00
1529471500.00,52124.65,39.11,57.77,39.28,-95.88,0.00
1529472500.00,52125.52,39.77,57.77,39.28,-95.55,0.00
1529473500.00,52124.68,40.29,57.79,39.29,-95.72,0.00
1529474500.00,52123.35,41.03,57.75,39.18,-95.93,0.00
1529475500.00,52124.05,41.91,57.87,39.25,-95.63,0.00
1529476500.00,52123.62,42.18,57.82,39.22,-95.67,0.00
1529477500.00,52123.47,42.69,57.78,39.19,-95.60,0.00
1529478500.00,52124.52,43.24,57.81,39.23,-95.12,0.00
1529479500.00,52124.39,43.46,57.73,39.26,-94.97,0.00
1529480500.00,52123.80,44.17,57.79,39.24,-95.06,0.00
1529481500.00,52122.09,44.50,57.79,39.10,-95.65,0.00
1529482500.00,52123.23,45.10,57.82,39.17,-95.20,0.00
1529483500.00,52122.82,45.38,57.84,39.17,-95.27,0.00
1529484500.00,52122.78,45.80,57.84,39.12,-95.15,0.00
1529485500.00,52123.43,46.13,57.82,39.20,-94.80,0.00
1529486500.00,52121.38,46.08,57.77,39.07,-95.41,0.00
1529487500.00,52121.11,46.58,57.81,39.05,-95.47,0.00
1529488500.00,52121.90,47.06,57.81,39.11,-95.14,0.00
1529489500.00,52121.45,47.31,57.83,39.07,-95.25,0.00
1529490500.00,52121.23,47.41,57.78,39.03,-95.25,0.00
1529491500.00,52120.88,47.82,57.86,39.05,-95.38,0.00
1529492500.00,52120.75,47.84,57.79,39.07,-95.32,0.00
1529493500.00,52123.00,48.06,57.83,39.12,-94.59,0.00
1529494500.00,52121.17,48.09,57.79,38.98,-94.99,0.00
1529495500.00,52120.23,48.29,57.80,39.01,-95.17,0.00
1529496500.00,52119.98,48.19,57.80,39.00,-95.24,0.00
1529497500.00,52119.63,48.42,57.82,38.92,-95.23,0.00
1529498500.00,52119.82,48.42,57.84,38.96,-95.08,0.00
1529499500.00,52119.17,48.13,57.80,38.90,-95.26,0.00
1529500500.00,52118.41,48.11,57.82,38.87,-95.50,0.00
1529501500.00,52118.17,48.02,57.86,38.85,-95.57,0.00
1529502500.00,52118.30,47.95,57.88,38.88,-95.55,0.00
1529503500.00,52118.17,47.47,57.84,38.80,-95.52,0.00
1529504500.00,52119.43,47.36,57.86,38.80,-95.07,0.00
1529505500.00,52119.47,46.81,57.84,38.74,-95.07,0.00
1529506500.00,52119.75,46.03,57.79,38.79,-94.96,0.00
1529507500.00,52119.47,45.94,57.88,38.79,-95.11,0.00
1529508500.00,52118.18,44.91,57.88,38.72,-95.57,0.00
1529509500.00,52119.54,44.06,57.88,38.77,-95.16,0.00
1529510500.00,52118.02,43.10,57.94,38.70,-95.13,0.00
1529511500.00,52119.21,42.23,58.01,38.72,-94.80,0.00
1529512500.00,52118.12,41.23,57.98,38.64,-95.27,0.00
1529513500.00,52117.89,40.33,58.03,38.61,-95.42,0.00
1529514500.00,52119.04,39.67,58.01,38.68,-94.99,0.00
1529515500.00,52117.61,38.69,58.00,38.51,-95.61,0.00
1529516500.00,52118.15,38.33,58.09,38.57,-95.42,0.00
1529517500.00,52118.94,37.50,58.07,38.56,-95.13,0.00
1529518500.00,52119.53,36.42,58.15,38.56,-95.06,0.00
1529519500.00,52118.76,35.32,58.16,38.55,-95.38,0.00
1529520500.00,52118.67,34.30,58.17,38.54,-95.41,0.00
1529521500.00,52118.48,33.61,58.27,38.47,-95.56,0.00
1529522500.00,52118.55,32.43,58.25,38.45,-95.61,0.00
1529523500.00,52118.61,31.72,58.28,38.39,-95.53,0.00
1529524500.00,52118.71,30.99,58.34,38.49,-95.55,0.00
1529525500.00,52118.52,30.21,58.35,38.42,-95.59,0.00
1529526500.00,52118.15,29.30,58.33,38.38,-95.76,0.00
1529527500.00,52119.92,28.92,58.41,38.53,-95.09,0.00
1529528500.00,52118.55,28.13,58.44,38.41,-95.56,0.00
1529529500.00,52118.20,27.16,58.44,38.36,-95.65,0.00
1529530500.00,52118.40,26.54,58.49,38.42,-95.65,0.00
1529531500.00,52118.92,26.27,58.52,38.51,-95.50,0.00
1529532500.00,52118.84,26.06,58.62,38.45,-95.44,0.00
1529533500.00,52118.85,25.87,58.65,38.50,-95.44,0.00
1529534500.00,52118.05,25.81,58.71,38.51,-95.59,0.00
1529535500.00,52118.30,25.53,58.69,38.53,-95.33,0.00
1529536500.00,52116.76,25.24,58.68,38.51,-95.77,0.00
1529537500.00,52116.34,25.27,58.62,38.52,-95.80,0.00
1529538500.00,52116.35,25.51,58.63,38.57,-95.65,0.00
1529539500.00,52114.50,25.61,58.64,38.53,-96.18,0.00
1529540500.00,52116.00,26.17,58.60,38.56,-95.47,0.00
1529541500.00,52115.76,26.68,58.57,38.62,-95.41,0.00
1529542500.00,52115.30,27.29,58.58,38.64,-95.44,0.00
1529543500.00,52113.99,27.96,58.53,38.51,-95.76,0.00
1529544500.00,52114.40,29.00,58.51,38.61,-95.45,0.00
1529545500.00,52113.66,29.71,58.37,38.60,-95.45,0.00
1529546500.00,52112.93,30.41,58.38,38.56,-95.66,0.00
1529547500.00,52112.37,31.46,58.35,38.63,-95.63,0.00
1529548500.00,52113.69,32.41,58.30,38.70,-95.17,0.00
1529549500.00,52111.58,33.30,58.27,38.57,-95.78,0.00
1529550500.00,52112.24,34.33,58.21,38.64,-95.38,0.00
1529551500.00,52112.12,35.59,58.18,38.71,-95.21,0.00
1529552500.00,52110.84,36.52,58.17,38.77,-95.55,0.00
1529553500.00,52112.62,37.43,58.06,38.80,-94.76,0.00
1529554500.00,52111.15,38.51,58.07,38.75,-95.22,0.00
1529555500.00,52111.73,38.96,58.00,38.83,-94.91,0.00
1529556500.00,52110.59,39.61,58.03,38.75,-95.39,0.00
1529557500.00,52110.71,40.24,58.01,38.74,-95.29,0.00
1529558500.00,52110.83,40.92,57.96,38.79,-95.14,0.00
1529559500.00,52110.58,41.53,57.91,38.77,-95.21,0.00
1529560500.00,52111.94,42.76,58.00,38.76,-94.76,0.00
1529561500.00,52111.83,43.58,57.97,38.76,-94.79,0.00
1529562500.00,52110.62,44.24,57.95,38.67,-95.27,0.00
1529563500.00,52111.14,45.08,57.94,38.71,-95.10,0.00
1529564500.00,52111.55,45.70,57.91,38.71,-94.77,0.00
1529565500.00,52111.94,46.18,57.93,38.78,-94.52,0.00
1529566500.00,52110.50,46.22,57.87,38.62,-94.94,0.00
1529567500.00,52111.22,46.89,57.91,38.73,-94.72,0.00
1529568500.00,52112.97,47.28,57.88,38.80,-94.03,0.00
1529569500.00,52111.67,47.56,57.84,38.66,-94.45,0.00
1529570500.00,52110.85,47.86,57.91,38.63,-94.71,0.00
1529571500.00,52112.73,48.34,57.90,38.69,-93.97,0.00
1529572500.00,52112.99,48.64,57.91,38.68,-93.85,0.00
1529573500.00,52111.27,48.76,57.80,38.61,-94.51,0.00
1529574500.00,52112.10,48.85,57.80,38.60,-94.17,0.00
1529575500.00,52112.13,49.19,57.82,38.58,-93.99,0.00
1529576500.00,52110.92,48.96,57.83,38.56,-94.44,0.00
1529577500.00,52110.84,49.06,57.83,38.56,-94.42,0.00
1529578500.00,52110.16,48.78,57.89,38.46,-94.55,0.00
1529579500.00,52110.78,48.84,57.87,38.49,-94.35,0.00
1529580500.00,52111.46,48.99,57.92,38.48,-94.12,0.00
1529581500.00,52110.20,48.61,57.83,38.45,-94.54,0.00
1529582500.00,52111.35,48.63,57.86,38.44,-94.08,0.00
1529583500.00,52110.90,48.76,57.82,38.39,-94.19,0.00
1529584500.00,52110.38,48.78,57.78,38.37,-94.27,0.00
1529585500.00,52110.82,49.12,57.80,38.29,-94.14,0.00
1529586500.00,52111.22,49.10,57.83,38.35,-93.93,0.00
1529587500.00,52109.86,48.96,57.83,38.27,-94.36,0.00
1529588500.00,52109.91,48.90,57.83,38.30,-94.22,0.00
1529589500.00,52109.71,48.66,57.77,38.25,-94.24,0.00
1529590500.00,52109.64,48.68,57.79,38.22,-94.29,0.00
1529591500.00,52108.91,48.81,57.84,38.17,-94.50,0.00
1529592500.00,52109.91,48.37,57.76,38.20,-94.13,0.00
1529593500.00,52109.22,48.57,57.78,38.14,-94.28,0.00
