,m1,m2,m3,m4,m5,m6
1525729500.00,51984.48,13.11,43.45,24.67,-81.25,0.00
1525730500.00,51984.58,12.69,43.51,24.65,-81.26,0.00
1525731500.00,51985.70,12.04,43.53,24.68,-80.80,0.00
1525732500.00,51985.50,12.00,43.63,24.67,-81.02,0.00
1525733500.00,51984.75,11.44,43.69,24.71,-81.32,0.00
1525734500.00,51985.36,11.12,43.65,24.70,-81.21,0.00
1525735500.00,51985.69,10.94,43.74,24.76,-81.19,0.00
1525736500.00,51987.06,11.05,43.74,24.80,-80.81,0.00
1525737500.00,51988.55,11.13,43.77,24.93,-80.28,0.00
1525738500.00,51987.66,11.24,43.68,24.80,-80.57,0.00
1525739500.00,51986.30,11.34,43.66,24.80,-81.18,0.00
1525740500.00,51987.86,11.73,43.70,24.93,-80.59,0.00
1525741500.00,51987.08,12.18,43.69,24.98,-80.89,0.00
1525742500.00,51985.91,13.07,43.67,24.92,-81.24,0.00
1525743500.00,51986.83,13.96,43.65,25.00,-80.96,0.00
1525744500.00,51986.09,14.89,43.49,25.12,-81.16,0.00
1525745500.00,51985.27,16.04,43.45,25.10,-81.33,0.00
1525746500.00,51985.18,17.64,43.41,25.11,-81.29,0.00
1525747500.00,51985.09,19.21,43.45,25.13,-81.24,0.00
1525748500.00,51984.87,20.31,43.26,25.25,-81.22,0.00
1525749500.00,51982.43,21.84,43.19,25.14,-81.97,0.00
1525750500.00,51984.12,23.48,43.12,25.23,-81.35,0.00
1525751500.00,51983.74,24.72,43.09,25.25,-81.39,0.00
1525752500.00,51983.29,26.32,43.11,25.28,-81.38,0.00
1525753500.00,51983.82,27.39,42.94,25.32,-80.99,0.00
1525754500.00,51981.12,28.99,42.99,25.27,-81.75,0.00
1525755500.00,51981.21,30.39,42.95,25.24,-81.63,0.00
1525756500.00,51982.29,31.20,42.87,25.39,-81.13,0.00
1525757500.00,51980.78,32.26,42.78,25.37,-81.67,0.00
1525758500.00,51981.48,33.46,42.74,25.38,-81.12,0.00
1525759500.00,51978.60,34.70,42.75,25.30,-81.92,0.00
1525760500.00,51978.61,35.59,42.68,25.35,-81.62,0.00
1525761500.00,51977.61,36.23,42.68,25.40,-81.80,0.00
1525762500.00,51978.04,37.10,42.67,25.43,-81.50,0.00
1525763500.00,51976.42,37.71,42.67,25.39,-81.93,0.00
