,m1,m2,m3,m4,m5,m6
1526074500.00,51954.63,38.65,44.99,26.45,-78.27,0.00
1526075500.00,51954.21,38.18,44.89,26.30,-78.71,0.00
1526076500.00,51955.27,37.85,44.90,26.26,-78.55,0.00
1526077500.00,51957.27,37.19,44.93,26.37,-77.65,0.00
1526078500.00,51953.97,36.54,44.96,26.26,-78.53,0.00
1526079500.00,51953.15,36.09,44.80,26.26,-78.73,0.00
1526080500.00,51953.49,35.76,44.75,26.30,-78.51,0.00
1526081500.00,51953.51,35.89,44.79,26.27,-78.36,0.00
1526082500.00,51951.91,35.62,44.79,26.23,-78.78,0.00
1526083500.00,51951.96,35.68,44.77,26.18,-78.62,0.00
1526084500.00,51949.90,36.03,44.82,26.12,-79.16,0.00
1526085500.00,51949.52,36.33,44.76,26.11,-79.01,0.00
1526086500.00,51949.23,36.46,44.65,26.14,-78.92,0.00
1526087500.00,51948.93,37.03,44.79,26.13,-78.88,0.00
1526088500.00,51949.09,37.13,44.73,26.15,-78.65,0.00
1526089500.00,51948.48,37.35,44.79,26.09,-78.65,0.00
1526090500.00,51947.57,37.47,44.78,26.09,-78.90,0.00
1526091500.00,51946.81,37.70,44.72,26.04,-79.00,0.00
1526092500.00,51946.92,37.75,44.60,26.08,-78.84,0.00
1526093500.00,51946.49,37.87,44.62,26.06,-78.87,0.00
1526094500.00,51946.72,37.99,44.63,26.04,-78.75,0.00
1526095500.00,51945.76,37.79,44.59,25.91,-79.00,0.00
1526096500.00,51947.06,37.98,44.60,26.01,-78.55,0.00
1526097500.00,51946.75,38.01,44.58,26.01,-78.61,0.00
1526098500.00,51946.63,37.96,44.62,25.88,-78.68,0.00
1526099500.00,51945.51,38.04,44.62,25.86,-78.96,0.00
1526100500.00,51945.21,37.98,44.55,25.84,-78.94,0.00
1526101500.00,51943.88,37.53,44.44,25.72,-79.26,0.00
1526102500.00,51945.69,37.22,44.33,25.77,-78.56,0.00
1526103500.00,51946.05,37.11,44.40,25.84,-78.39,0.00
1526104500.00,51944.42,36.46,44.20,25.64,-78.98,0.00
1526105500.00,51943.21,36.72,44.20,25.61,-79.34,0.00
1526106500.00,51944.35,37.02,44.26,25.64,-78.93,0.00
