,m1,m2,m3,m4,m5,m6
1525145500.00,52051.23,-27.45,31.18,20.34,-78.17,0.00
1525146500.00,52051.06,-26.02,31.25,20.34,-78.23,0.00
1525147500.00,52050.44,-25.00,31.36,20.43,-78.35,0.00
1525148500.00,52051.20,-23.82,31.33,20.46,-78.02,0.00
1525149500.00,52051.68,-22.92,31.37,20.58,-77.74,0.00
1525150500.00,52048.80,-21.75,31.41,20.53,-78.59,0.00
1525151500.00,52048.87,-20.77,31.46,20.64,-78.29,0.00
1525152500.00,52048.70,-19.91,31.39,20.63,-78.37,0.00
1525153500.00,52046.14,-19.07,31.50,20.66,-78.37,0.00
1525154500.00,52046.78,-18.42,31.47,20.73,-77.99,0.00
1525155500.00,52042.96,-17.53,31.55,20.58,-79.27,0.00
1525156500.00,52045.02,-16.75,31.51,20.76,-78.49,0.00
1525157500.00,52042.96,-16.14,31.63,20.72,-79.10,0.00
1525158500.00,52043.86,-15.27,31.73,20.80,-78.70,0.00
1525159500.00,52041.75,-15.02,31.67,20.76,-79.23,0.00
1525160500.00,52041.70,-14.03,31.72,20.82,-79.15,0.00
1525161500.00,52041.10,-13.03,31.76,20.87,-79.29,0.00
1525162500.00,52041.31,-12.73,31.78,20.95,-79.11,0.00
1525163500.00,52040.55,-12.38,31.86,21.00,-79.34,0.00
1525164500.00,52040.52,-12.02,31.88,21.06,-79.25,0.00
1525165500.00,52039.76,-11.31,31.91,21.06,-79.34,0.00
1525166500.00,52038.48,-10.48,32.00,20.98,-79.63,0.00
1525167500.00,52037.66,-9.93,32.00,20.99,-79.78,0.00
1525168500.00,52037.87,-9.51,32.06,21.06,-79.55,0.00
1525169500.00,52036.07,-9.08,32.10,21.02,-80.11,0.00
1525170500.00,52036.17,-8.79,32.10,21.06,-79.93,0.00
1525171500.00,52036.20,-8.05,32.29,21.07,-79.79,0.00
1525172500.00,52036.21,-7.85,32.20,21.10,-79.77,0.00
1525173500.00,52035.82,-7.40,32.26,21.20,-79.76,0.00
1525174500.00,52035.04,-6.90,32.29,21.08,-79.99,0.00
1525175500.00,52034.84,-6.90,32.34,21.12,-79.98,0.00
1525176500.00,52036.93,-6.88,32.41,21.26,-79.13,0.00
1525177500.00,52034.88,-7.24,32.44,21.17,-79.77,0.00
1525178500.00,52033.65,-7.60,32.52,21.10,-80.00,0.00
1525179500.00,52031.19,-8.36,32.64,21.15,-80.11,0.00
1525180500.00,52030.60,-8.95,32.76,21.14,-80.39,0.00
1525181500.00,52029.88,-10.33,32.90,21.09,-80.67,0.00
1525182500.00,52027.31,-11.50,32.88,21.30,-81.62,0.00
1525183500.00,52026.37,-13.10,32.90,21.34,-82.00,0.00
1525184500.00,52030.09,-14.18,33.03,21.12,-80.65,0.00
1525185500.00,52033.05,-15.70,33.06,21.14,-79.75,0.00
1525186500.00,52031.89,-17.54,33.15,21.07,-80.34,0.00
1525187500.00,52032.88,-19.20,33.21,21.12,-80.17,0.00
1525188500.00,52032.46,-20.79,33.29,20.99,-80.56,0.00
1525189500.00,52033.90,-22.88,33.29,21.09,-80.23,0.00
1525190500.00,52035.64,-22.56,33.30,21.09,-79.71,0.00
1525191500.00,52033.18,-22.85,33.36,21.04,-80.67,0.00
1525192500.00,52033.53,-23.15,33.37,21.12,-80.66,0.00
1525193500.00,52034.41,-22.96,33.39,21.14,-80.42,0.00
1525194500.00,52035.21,-23.20,33.45,21.19,-80.20,0.00
1525195500.00,52033.60,-23.44,33.47,21.18,-80.73,0.00
1525196500.00,52034.61,-23.61,33.60,21.28,-80.42,0.00
1525197500.00,52034.64,-24.05,33.53,21.33,-80.31,0.00
1525198500.00,52032.78,-24.34,33.66,21.26,-80.91,0.00
1525199500.00,52034.45,-24.86,33.69,21.44,-80.34,0.00
1525200500.00,52033.10,-25.03,33.82,21.37,-80.79,0.00
1525201500.00,52035.21,-25.45,33.81,21.49,-80.03,0.00
1525202500.00,52033.53,-25.61,33.94,21.35,-80.68,0.00
1525203500.00,52035.12,-26.03,33.96,21.45,-80.14,0.00
