,ctags,km_total,BB_total,k1,m1,km1,BB1,k2,m2,km2,BB2,k3,m3,km3,BB3,k4,m4,km4,BB4,k5,m5,km5,BB5,k6,m6,km6,BB6,k7,m7,km7,BB7,k8,m8,km8,BB8,k9,m9,km9,BB9
1a1,485123992.0,51873.89756972817,0.0,1.0000000000000002,51881.03795985766,51881.03795985766,0.0,0.1504949828538511,-4.713778909730252,-0.2571736222937032,0.0,0.011437963338630695,16.39239477280908,0.19957994101351184,0.0,0.004404487673142765,23.39675587890957,0.09782698828067948,0.0,0.09708480056672275,-74.29556047694976,-7.2594799501910074,0.0,0.0029165176845272664,17.51880672295494,0.04853910867448643,0.0,-0.00048639054755734605,1.1776529055339928,0.04337541873713514,0.0,7.323537969378131e-05,3.792760465354867,-0.031670095393727206,0.0,-0.0002738608435628792,-83.75606537191688,0.018612081682986965,0.0
1b1,562216478.0,51943.700021146,0.0,1.0000000000000002,51951.590982847934,51951.590982847934,0.0,0.1325004058628614,-19.776816358795262,-2.089148322593131,0.0,0.008152378262369963,28.60865331636252,0.23688787408683665,0.0,0.0030493500223356487,24.313186482357562,0.06808059820453237,0.0,0.08189664841429552,-74.29558572015759,-6.116057706379479,0.0,0.002641136776040111,17.05908845286384,0.04365016665191447,0.0,-0.0044963067953242225,1.3318504142024319,0.03760574608311491,0.0,-0.00018374540233040355,4.0447418149372725,-0.03299974773910677,0.0,0.0004390156814298018,-83.0863480889721,-0.038980310242436714,0.0
1b2,114792076.0,51926.96382807454,0.0,1.0000000000000002,51935.37162568326,51935.37162568328,0.0,0.13237002495739064,-25.83946503225961,-2.814452399307225,0.0,0.013139069277378106,33.11490401356496,0.43638088744768205,0.0,0.004660353052358628,26.41314253636503,0.11157120099166457,0.0,0.07974142526792402,-77.02372978212252,-6.166908595561911,0.0,0.003939522689746544,17.528908745547533,0.06649581452976801,0.0,-0.004452704622433584,1.533704227134398,0.04350992244439372,0.0,-0.00042426446296410145,4.067811968304929,-0.032641824220275076,0.0,0.000575423406018149,-83.11854204635067,-0.05175261505517171,0.0
1c1,220729523.0,51824.86434626297,0.0,1.0000000000000002,51829.328310553385,51829.32831055339,0.0,0.1504804890913347,13.523279796929009,2.4642631813990032,0.0,0.018609488308201326,48.59426887780572,0.9047942492262954,0.0,0.006624111313359326,32.5013595315085,0.21171749596456946,0.0,0.09476714764797646,-84.19589342490283,-8.0922590516383,0.0,0.006225391799207922,18.66429946440277,0.10940596298436876,0.0,-0.0001892745547048226,1.406643930176914,0.04333186147813579,0.0,-0.0002885001407577016,4.088838766501233,-0.03434230877074574,0.0,0.0007111397902420056,-82.88209515643422,-0.07087568106684346,0.0
1c2,280475611.0,51867.8577003811,0.0,1.0000000000000002,51869.33061817029,51869.3306181703,0.0,0.1579570163254922,31.888335347569573,5.642821915156734,0.0,0.01589054535042921,46.44150033859275,0.7391346995491491,0.0,0.006062531039990921,31.62236164887306,0.18204644294770944,0.0,0.10035037659567075,-79.97499605725696,-8.084196849321684,0.0,0.005604934788280242,18.73148481015008,0.09991680370979933,0.0,0.002627541947584082,1.9827857970011729,0.06671800039914756,0.0,0.00024171879121821503,3.0996449535746997,-0.034289308371680725,0.0,0.0009283661588391774,-83.0367853815282,-0.08506949326343169,0.0
1c3,531889325.0,51848.24344756811,0.0,1.0000000000000002,51850.20892404568,51850.208924045684,0.0,0.15700955199950203,27.515114682622208,4.926985600865908,0.0,0.018371429153780948,49.50038849738204,0.910786926899477,0.0,0.0069054041554241635,32.8980859414708,0.21597698047043032,0.0,0.10009564997080338,-80.16414277929465,-8.07829169743837,0.0,0.006353050199557954,18.76736314792608,0.11308264959815129,0.0,0.002289857827807002,1.9253129963739348,0.06902377032912543,0.0,0.0004533109489835974,3.0339558042045827,-0.033277987607144704,0.0,0.0009662972349814866,-83.08870042409885,-0.08976272069128279,0.0
1d2,426916682.0,52011.01228682138,0.0,1.0000000000000002,52015.99467017044,52015.99467017045,0.0,0.15798699247596015,20.48180602126073,2.7090312984910514,0.0,0.024041929460148832,52.640183957323444,1.2655475616157517,0.0,0.00882158833927516,39.23330496509141,0.3862082221721853,0.0,0.09627393226753617,-92.67975766140933,-9.306220766584927,0.0,0.006633614134205383,19.56685059014996,0.1219524763993421,0.0,0.000893385585840098,0.18452396686466793,-0.1003525684753875,0.0,-0.0008054958049342563,3.004748146844584,-0.04378737387209178,0.0,-6.166448851864329e-05,-83.45781275865657,-0.014762198815356896,0.0
1d3,384383546.0,52004.87541308362,0.0,1.0000000000000002,52010.63805766765,52010.63805766766,0.0,0.15663935126422834,14.43848986760538,1.732438380204098,0.0,0.028796227445125243,50.89474560037439,1.4774497173549537,0.0,0.010110327773159133,40.161302738626624,0.454786331265302,0.0,0.09802151438501133,-92.24559362567351,-9.407490834909806,0.0,0.008068921986085716,19.533131357345017,0.15128185979491915,0.0,0.001137854168429012,0.419705974359392,-0.11120919199279618,0.0,-0.0002949097185872908,2.7678614980627656,-0.04317677746753547,0.0,-5.4166400587425504e-05,-83.91257419897583,-0.016724068289852553,0.0
1d4,443995727.0,51999.92234179268,0.0,1.0000000000000002,52000.99922274867,52000.99922274869,0.0,0.15974092067468815,37.08597527483898,5.662879416580647,0.0,0.03451792643430077,61.94319270527227,2.138178141060527,0.0,0.012206732568885784,44.9483196106046,0.6001934443598391,0.0,0.0968632409969231,-94.84882901735465,-9.53141949701371,0.0,0.009639597177495405,20.983695095975754,0.1873336794926641,0.0,0.0015215414057080945,0.5572781332283134,-0.05815175447131299,0.0,-0.0007493500471576174,3.1695773542519325,-0.0428874107554959,0.0,2.437343651336724e-05,-82.52301836506702,-0.03300697526496899,0.0
1d5,501528344.0,52006.04532951006,0.0,1.0000000000000002,52010.19773000857,52010.197730008585,0.0,0.15819453677289408,20.90907045958381,2.8670086659128935,0.0,0.02762769790421251,57.19637209114622,1.5796023169880982,0.0,0.009877699304452753,42.04933620395969,0.4652870003645576,0.0,0.09384009558504289,-92.55197988930153,-9.076220194154574,0.0,0.007330692385365946,20.516899874579092,0.13566042002438444,0.0,0.0013286615014321682,0.4632028242308376,-0.06466093011753471,0.0,-0.0014733959282750221,3.247443683059294,-0.044673079615910306,0.0,-0.000164625373462471,-82.79456478889739,-0.014404697923215488,0.0
1d6,300982970.0,52013.042894063925,0.0,1.0000000000000002,52017.01342737699,52017.013427377,0.0,0.15936608137822292,18.979075606678954,2.7404578181637387,0.0,0.030821823122763183,58.31989056289316,1.7978589958305706,0.0,0.010962038090220574,43.31272519206325,0.5213034984323242,0.0,0.09535337468090274,-91.47352268646465,-9.066827865509472,0.0,0.00833636059469163,20.15682327188456,0.1522589783734198,0.0,0.0014414704642233733,1.0113972070537482,-0.045382669425462326,0.0,-0.0014330660494642716,3.096754784218944,-0.043758234753640726,0.0,-3.182798208701676e-05,-83.09324202237137,-0.02644383419157325,0.0
